tf	tg
KLF4	KRT19
KLF4	TAGLN
KLF4	CDKN1A
KLF4	GDF15
STAT3	FOS
STAT3	TIMP1
STAT3	CYR61
STAT3	CTGF
STAT3	A2M
STAT3	CDKN1A
JUN	CDKN1A
JUN	CTGF
JUN	ACTA1
JUN	EZR
JUN	STMN1
JUN	ELN
ETV6	CDKN1A
ETV6	IGFBP5
TFAP2B	PTGDS
TFAP2B	CRYAB
WT1	CTGF
WT1	CKM
WT1	IGF2
WT1	CDKN1A
SRF	TAGLN
SRF	FOS
SRF	ACTA1
KLF10	STMN1
KLF10	CDKN1A
HDAC1	HMGCS1
HDAC1	FOS
HDAC1	HSPA5
HDAC1	CDKN1A
JUND	SOX4
JUND	CDKN1A
JUND	TIMP1
HIPK2	CDKN1A
HIPK2	MEF2C
SMARCA4	FOS
SMARCA4	CDKN1A
TWIST1	TIMP1
TWIST1	GDF15
TWIST1	FOS
EGR1	GDF15
EGR1	STMN1
EGR1	CDKN1A
EGR1	IGF2
HDAC7	MEF2C
HDAC7	CDKN1A
TP53	GDF15
TP53	CDKN1A
TP53	CRYAB
TP53	ANKRD1
TP53	CKM
TBP	FOS
TBP	CDKN1A
BRCA1	CDKN1A
BRCA1	HSPA5
BRCA1	FOS
FOS	EZR
FOS	FOS
FOS	ACTA1
ESR2	FOS
ESR2	CDKN1A
PAX5	TIMP1
PAX5	CDKN1A
PPARG	CDKN1A
PPARG	GDF15
PPARG	DBI
SOX9	CDKN1A
SOX9	NES
TFAP2A	CDKN1A
TFAP2A	CRYAB
TFAP2A	IGFBP5
SP1	EZR
SP1	CTGF
SP1	GATA3
SP1	TIMP1
SP1	CDKN1A
SP1	IGF2
SP1	KRT19
SP1	FOS
TWIST2	FOS
TWIST2	GDF15
RARA	SCD
RARA	CDKN1A
ESR1	KRT19
ESR1	CDKN1A
ESR1	FOS
NFKB1	PTGDS
NFKB1	TIMP1
NFKB1	GATA3
NFKB1	CDKN1A
NFKB1	S100A6
NFKB1	A2M
RUNX3	TIMP1
RUNX3	CDKN1A
RB1	CDKN1A
RB1	FOS
MYCN	CDKN1A
MYCN	NES
SIRT1	BCL11A
SIRT1	CDKN1A
IRF1	DST
IRF1	CDKN1A
CEBPB	GDF15
CEBPB	CDKN1A
USF1	PTGDS
USF1	S100A6
ETS1	CDKN1A
ETS1	CTGF
STAT1	CDKN1A
STAT1	TIMP1
CREB1	FOS
CREB1	STMN1
YY1	ACTC1
YY1	HSPA5
AR	CDKN1A
AR	ACTA1
RELA	GATA3
RELA	TIMP1
RELA	CDKN1A
RELA	S100A6
SP3	CDKN1A
SP3	TIMP1
E2F1	HSPA5
E2F1	CDKN1A
